TIMESTAMP,EVENT,BET_NUMBER,BET,CONDITION,RESULT,COIN,MESSAGE
2026-03-05 18:40:50.41,SESSION_START,,,,,,
2026-03-05 18:40:50.41,START_METRICS,,,EQUAL,,,
2026-03-05 18:40:52.43,BET,1,1.00,,-1.00,99.00,
2026-03-05 18:40:52.43,BET,2,1.70,,-1.70,97.30,
2026-03-05 18:40:52.43,BET,3,0.50,,-0.50,96.80,
2026-03-05 18:40:52.43,BET,4,1.80,,5.40,100.40,
2026-03-05 18:40:52.43,BET,5,0.40,,-0.40,100.00,
2026-03-05 18:40:52.43,BET,6,1.20,,-1.20,98.80,
2026-03-05 18:40:52.43,BET,7,0.50,,1.50,99.80,
2026-03-05 18:40:52.43,BET,8,0.30,,-0.30,99.50,
2026-03-05 18:40:52.44,BET,9,1.90,,-1.90,97.60,
2026-03-05 18:40:52.44,BET,10,0.90,,-0.90,96.70,
2026-03-05 18:40:52.44,BET,11,1.10,,-1.10,95.60,
2026-03-05 18:40:52.44,BET,12,1.00,,5.00,99.60,
2026-03-05 18:40:52.44,BET,13,1.70,,-1.70,97.90,
2026-03-05 18:40:52.44,BET,14,0.30,,-0.30,97.60,
2026-03-05 18:40:52.44,BET,15,0.40,,2.80,100.00,
2026-03-05 18:40:52.44,BET,16,1.80,,1.80,100.00,
2026-03-05 18:40:52.44,BET,17,1.30,,-1.30,98.70,
2026-03-05 18:40:52.45,BET,18,0.90,,-0.90,97.80,
2026-03-05 18:40:52.45,BET,19,0.20,,-0.20,97.60,
2026-03-05 18:40:52.45,BET,20,0.20,,2.40,99.80,
2026-03-05 18:40:52.45,BET,21,1.40,,-1.40,98.40,
2026-03-05 18:40:52.50,BET,22,0.30,,-0.30,98.10,
2026-03-05 18:40:52.52,BET,23,1.70,,-1.70,96.40,
2026-03-05 18:40:52.61,BET,24,0.20,,3.00,99.20,
2026-03-05 18:40:52.62,BET,25,1.90,,-1.90,97.30,
2026-03-05 18:40:52.62,BET,26,0.10,,-0.10,97.20,
2026-03-05 18:40:52.63,BET,27,0.90,,3.60,99.90,
2026-03-05 18:40:52.63,BET,28,1.30,,-1.30,98.60,
2026-03-05 18:40:52.63,BET,29,1.50,,-1.50,97.10,
2026-03-05 18:40:52.63,BET,30,0.70,,-0.70,96.40,
2026-03-05 18:40:52.63,BET,31,0.40,,-0.40,96.00,
2026-03-05 18:40:52.64,BET,32,0.90,,4.50,99.60,
2026-03-05 18:40:52.64,BET,33,0.60,,-0.60,99.00,
2026-03-05 18:40:52.64,BET,34,1.60,,-1.60,97.40,
2026-03-05 18:40:52.64,BET,35,1.90,,3.80,99.30,
2026-03-05 18:40:52.65,BET,36,0.60,,1.20,99.90,
2026-03-05 18:40:52.65,BET,37,1.00,,-1.00,98.90,
2026-03-05 18:40:52.65,BET,38,1.50,,-1.50,97.40,
2026-03-05 18:40:52.65,BET,39,0.40,,-0.40,97.00,
2026-03-05 18:40:52.65,BET,40,1.80,,5.40,100.60,
2026-03-05 18:40:52.65,BET,41,0.80,,-0.80,99.80,
2026-03-05 18:40:52.66,BET,42,1.00,,-1.00,98.80,
2026-03-05 18:40:52.66,BET,43,1.60,,-1.60,97.20,
2026-03-05 18:40:52.66,BET,44,1.80,,5.40,100.80,
2026-03-05 18:40:52.66,BET,45,1.20,,-1.20,99.60,
2026-03-05 18:40:52.66,BET,46,1.60,,-1.60,98.00,
2026-03-05 18:40:52.66,BET,47,1.70,,5.10,101.40,
2026-03-05 18:40:52.67,BET,48,0.20,,-0.20,101.20,
2026-03-05 18:40:52.67,BET,49,0.80,,-0.80,100.40,
2026-03-05 18:40:52.67,BET,50,0.80,,-0.80,99.60,
2026-03-05 18:40:52.67,BET,51,0.10,,-0.10,99.50,
2026-03-05 18:40:52.67,BET,52,1.40,,2.80,100.90,
2026-03-05 18:40:52.68,BET,53,1.90,,-1.90,99.00,
2026-03-05 18:40:52.68,BET,54,1.00,,-1.00,98.00,
2026-03-05 18:40:52.68,BET,55,0.40,,2.80,100.40,
2026-03-05 18:40:52.69,BET,56,1.00,,1.00,100.40,
2026-03-05 18:40:52.70,BET,57,0.40,,-0.40,100.00,
2026-03-05 18:40:52.70,BET,58,0.60,,-0.60,99.40,
2026-03-05 18:40:52.70,BET,59,1.20,,-1.20,98.20,
2026-03-05 18:40:52.71,BET,60,0.60,,3.00,100.60,
2026-03-05 18:40:52.71,SESSION_START,,,,,,
