TIMESTAMP,EVENT_TYPE,BET,EXPECTED_VALUE,RESULT,COIN,MESSAGE
2026-02-18 18:37:16,SESSION_START,,,,,
2026-02-18 18:37:37,BET,1.10,,,10.00,
2026-02-18 18:42:39,START_METRICS,,,,,expected_value=0.33
2026-02-18 18:42:39,SESSION_START,,,,,
2026-02-18 18:42:52,BET,0.70,0.33,,10.00,
2026-02-18 18:42:56,RESULT,,0.33,LOSS,9.30,
2026-02-18 18:43:01,BET,1.00,0.33,,9.30,
2026-02-18 18:43:06,RESULT,,0.33,LOSS,8.30,
2026-02-18 18:43:11,BET,0.70,0.33,,8.30,
2026-02-18 18:43:15,RESULT,,0.33,LOSS,7.60,
2026-02-18 18:43:18,BET,0.40,0.33,,7.60,
2026-02-18 18:43:23,RESULT,,0.33,LOSS,7.20,
2026-02-18 18:43:34,BET,0.20,0.33,,7.20,
2026-02-18 18:43:39,RESULT,,0.33,LOSS,7.00,
2026-02-18 18:43:41,SESSION_END,,,,,
